pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,726.5316142735196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,726.0254963802479
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,725.5383374615649
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,725.0702816756318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,724.6214675276865
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,724.1920278290559
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,723.7820896578555
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,723.3917743213858
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,723.0211973202345
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,722.6704683140979
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,722.3396910893318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,722.0289635282388
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,721.7383775801034
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,721.4680192339824
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,721.2179684932605
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,720.9882993519743
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,720.7790797729178
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,720.5903716675311
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,720.4222308775779
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,720.2747071586234
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,720.1478441653096
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,720.0416794384369
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,719.956244393856
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,719.8915643131716
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,719.8476583362594
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,719.8245394556052
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,719.8222145124571
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,719.8406841948033
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,719.8799430371678
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,719.9399794222277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,720.0207755842505
